region_name,year,month,total_deceased,total_new_positives
Puglia,2023,4,292033,5672
Sardegna,2023,4,88209,1899
Sicilia,2023,4,382729,3459
Toscana,2023,4,350259,5696
Trentino-Alto Adige,2023,4,503470,12893
Umbria,2023,4,74420,2183
Valle d'Aosta,2023,4,17126,180
Veneto,2023,4,181989,2386
Abruzzo,2023,5,122885,3507
Basilicata,2023,5,31922,364
Calabria,2023,5,106318,2541
Campania,2023,5,369016,7118
Emilia-Romagna,2023,5,603183,4433
Friuli Venezia Giulia,2023,5,183815,1969
Lazio,2023,5,400589,9823
Liguria,2023,5,1424826,9792
Marche,2023,5,137401,1567
Molise,2023,5,22657,321
Piemonte,2023,5,429483,4065
Puglia,2023,5,303223,4030
Sardegna,2023,5,91496,1759
Sicilia,2023,5,396379,2368
Toscana,2023,5,364031,4572
Trentino-Alto Adige,2023,5,522328,7981
Umbria,2023,5,77199,1876
Valle d'Aosta,2023,5,17754,90
Veneto,2023,5,189689,1772
Abruzzo,2023,6,119258,1358
Basilicata,2023,6,30988,147
Calabria,2023,6,103518,1384
Campania,2023,6,357837,2507
Emilia-Romagna,2023,6,584720,1512
Friuli Venezia Giulia,2023,6,178318,855
Lazio,2023,6,388680,5044
Liguria,2023,6,1381547,3478
Marche,2023,6,133175,559
Molise,2023,6,22103,103
Piemonte,2023,6,415786,1406
Puglia,2023,6,294331,1422
Sardegna,2023,6,88667,1493
Sicilia,2023,6,384328,2048
Toscana,2023,6,355940,1992
Trentino-Alto Adige,2023,6,507133,2513
Umbria,2023,6,74861,592
Valle d'Aosta,2023,6,17194,37
Veneto,2023,6,184585,575
Abruzzo,2023,7,123413,467
Basilicata,2023,7,32039,43
Calabria,2023,7,107322,435
Campania,2023,7,370417,1259
Emilia-Romagna,2023,7,604625,1028
Friuli Venezia Giulia,2023,7,184420,521
Lazio,2023,7,402091,2723
Liguria,2023,7,1428545,2254
Marche,2023,7,137765,307
Molise,2023,7,22878,28
Piemonte,2023,7,429660,801
Puglia,2023,7,304373,698
Sardegna,2023,7,91779,652
Sicilia,2023,7,397559,1228
Toscana,2023,7,370115,1240
Trentino-Alto Adige,2023,7,524769,1819
Umbria,2023,7,77455,261
Valle d'Aosta,2023,7,17794,26
Veneto,2023,7,191121,351
Abruzzo,2023,8,123494,1282
Basilicata,2023,8,32109,78
Calabria,2023,8,107683,1503
Campania,2023,8,370879,3908
Emilia-Romagna,2023,8,605089,3087
Friuli Venezia Giulia,2023,8,184530,1634
